version,section,type,description_snippet,tabulated_date
v2.0.0,Appendix H,changed,Registration Schemes: subject's jurisdiction as specified in Section 7.1.4.2.4 (entry 1),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: Subject Organization Name Field per Section 7.1.4.2.1 (entry 1),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: Subject Registration Number Field per Section 7.1.4.2.5 (entry 1),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: subject's jurisdiction as specified in Section 7.1.4.2.4 (entry 2),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: Subject Organization Name Field per Section 7.1.4.2.1 (entry 2),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: Subject Registration Number Field per Section 7.1.4.2.5 (entry 2),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: Subject Registration Number Field per Section 7.1.4.2.5 (entry 3),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: subject's jurisdiction as specified in Section 7.1.4.2.4 (entry 3),2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: included as specified in Section 7.1.4.2.8 and/or,2026-04-02
v2.0.0,Appendix H,changed,Registration Schemes: and/or Section 7.1.2,2026-04-02
v2.0.0,9.6.4,changed,Relying party representations and warranties: Beneficiaries clause,2026-04-02
v2.0.0,9.6.5,changed,Representations and warranties of other participants: section heading,2026-04-02
v2.0.0,9.7,changed,Disclaimers of warranties: section heading,2026-04-02
v2.0.0,9.8,changed,Limitations of liability: Due Diligence requirements per Section 3.2.2.13 by RA,2026-04-02
v2.0.0,5.5.5,changed,Requirements for time-stamping of records: section heading,2026-04-02
v2.0.0,6.4,changed,Activation data: section heading,2026-04-02
v2.0.0,8.1,changed,Frequency or circumstances of assessment: meets criteria of Section 8,2026-04-02
v2.0.0,8.6,changed,Communication of results: section heading,2026-04-02
v2.0.0,8.7,changed,Pre-issuance Readiness Audit: section heading,2026-04-02
v2.0.0,5.3.3,changed,Training and Skills requirements (entry 1),2026-04-02
v2.0.0,5.4,changed,Audit logging procedures: per Section 5.4 of Baseline Requirements,2026-04-02
v2.0.0,5.4.1,changed,Types of events recorded: per Section 5.4.1,2026-04-02
v2.0.0,14.2.1,changed,General: fulfills all requirements of Section 11.13,2026-04-02
v2.0.0,4.6,changed,Certificate renewal: section heading,2026-04-02
v2.0.0,4.6.1,changed,Circumstance for certificate renewal: section heading,2026-04-02
v2.0.0,5.3.2,changed,Background check procedures: section heading,2026-04-02
v2.0.0,5.3.3,changed,Training and Skills requirements (entry 2),2026-04-02
v2.0.0,4.4,changed,Certificate acceptance: section heading,2026-04-02
v2.0.0,4.5,changed,Key pair and certificate usage: section heading,2026-04-02
v2.0.0,4.5.1,changed,Subscriber private key and certificate usage (entry 1),2026-04-02
v2.0.0,4.5.1,changed,Subscriber private key and certificate usage (entry 2),2026-04-02
v2.0.0,4.5.2,changed,Relying party public key and certificate usage: section heading,2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: except when permitted otherwise under Section 3.2.2.14.1,2026-04-02
v2.0.0,4.1,changed,Certificate Application: section heading,2026-04-02
v2.0.0,4.1.1,changed,Who can submit a certificate application: section heading,2026-04-02
v2.0.0,4.3.1,changed,CA actions during certificate issuance: 4.3.2 Notification to subscriber by CA,2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: section heading,2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: Except for reissuance under Section 3.2.2.14.2,2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: except when permitted otherwise in Section 3.2.2.14.1,2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: extent permitted under Section 3.2.2.9 and 3.2.2.10 (entry 1),2026-04-02
v2.0.0,3.2.2.14.3,changed,Age of Validated Data: extent permitted under Section 3.2.2.9 and 3.2.2.10 (entry 2),2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: Operational Existence under Section 3.2.2.6,2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: Certificate Approver under Section 3.2.2.8,2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: right to use Domain Name under Section 3.2.2.7,2026-04-02
v2.0.0,3.2.2.14.2,changed,Re-issuance Requests: section heading,2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: section heading,2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: Principal Individual verified under Section 3.2.2.2.2 (4),2026-04-02
v2.0.0,3.2.2.14.1,changed,Validation For Existing Subscribers: Place of Business under Section 3.2.2.4.1,2026-04-02
