version,section,type,description_snippet,tabulated_date
v2.0.5,4.1,changed,Intrusion Detection and Prevention: protect CA Infrastructure against common network attacks,2026-04-02
v2.0.5,4.2.1.1,changed,Penetration Testing: section heading,2026-04-02
v2.0.5,4.3,changed,Vulnerability Management Timeframe: based on Risk Assessment performed by CA,2026-04-02
v2.0.5,4.3,changed,Vulnerability Management Timeframe: Risk Assessment MUST be based on documented security analysis,2026-04-02
v2.0.5,4,changed,Vulnerability Management: policies and procedures in Section 4 for identifying,2026-04-02
v2.0.5,4,added,Vulnerability Management: Security Support Systems and Network Boundary Controls,2026-04-02
v2.0.5,4,removed,Vulnerability Management: CA MUST define inventory of Certificate Systems,2026-04-02
v2.0.5,4,added,Vulnerability Management: Effective 15-Apr-2026 policies/procedures MUST apply to Security Support Systems and Network Boundary Controls,2026-04-02
v2.0.5,3.1.1,changed,Monitoring and Logging: CA Infrastructure and Network Boundary Controls (entry 1),2026-04-02
v2.0.5,3.1.1,changed,Monitoring and Logging: CA Infrastructure and Network Boundary Controls (entry 2),2026-04-02
v2.0.5,3.1.1,changed,Monitoring and Logging: CA Infrastructure and Network Boundary Controls (entry 3),2026-04-02
v2.0.5,3.1.1.1,changed,Monitoring and Logging: CA Infrastructure and Network Boundary Controls are enabled,2026-04-02
v2.0.5,3.1.1.2,changed,Monitoring and Logging: CA Infrastructure and Network Boundary Controls activities,2026-04-02
v2.0.5,2.2.3,removed,Access Management: Multi-Factor Authentication for access to CA Infrastructure,2026-04-02
v2.0.5,2.2.5,changed,"Access Management: CA Infrastructure, Network Boundary Controls, or Workstations",2026-04-02
v2.0.5,2.2.6,changed,Access Management: remote connection enabling Privileged Access to CA Infrastructure,2026-04-02
v2.0.5,2.2.6,changed,Access Management: connection to Network Boundary Control asset,2026-04-02
v2.0.5,2.2.1.4,changed,Access Management: CA Infrastructure or Network Boundary Controls reviewed,2026-04-02
v2.0.5,2.2.1.4,changed,Access Management: CA Infrastructure or Network Boundary Controls deactivated,2026-04-02
v2.0.5,2.2.1.4,changed,Access Management: CA Infrastructure or Network Boundary Controls,2026-04-02
v2.0.5,2.2.1.5,added,Access Management: susceptibility of CA Infrastructure and Network Boundary Controls to unauthorized access,2026-04-02
v2.0.5,2.2.1.5,added,Access Management: access to CA Infrastructure or Network Boundary Controls,2026-04-02
v2.0.5,2.2.1.2,changed,Access Management: attribute each use to clause,2026-04-02
v2.0.5,2.2.1.2,removed,Access Management: an approved activity clause,2026-04-02
v2.0.5,2.2.1.3,changed,Access Management: CA Infrastructure and Network Boundary Controls disabled,2026-04-02
v2.0.5,2.1,changed,Trusted roles: maintain Certificate Systems and Root CA Systems,2026-04-02
v2.0.5,2.1,changed,Trusted roles: Principle of Separation of Duties requirements,2026-04-02
v2.0.5,2.2.1,changed,Access Management: ensure access to Certificate Systems and Root CA Systems,2026-04-02
v2.0.5,2.2.1.1,changed,Access Management: authenticate to Certificate Systems or Root CA Systems with unique credentials,2026-04-02
v2.0.5,2.2.1.2,changed,Access Management: access CA Infrastructure Network Boundary Controls,2026-04-02
v2.0.5,1.2.2,removed,CA Infrastructure Security: between CA Infrastructure and non-CA Infrastructure clause,2026-04-02
v2.0.5,1.2.2,changed,CA Infrastructure Security: CA Infrastructure and Network Boundary Controls MUST be implemented,2026-04-02
v2.0.5,1.3,changed,Change Management: management of Network Boundary Controls (entry 1),2026-04-02
v2.0.5,1.3,changed,Change Management: Network Boundary Controls (entry 2),2026-04-02
v2.0.5,1.3,changed,Change Management: Network Boundary Controls (entry 3),2026-04-02
v2.0.5,1.2.1,added,CA Infrastructure Security: Root CA Systems MUST be on physically separate networks from all other CA Infrastructure,2026-04-02
v2.0.5,1.2.2,changed,CA Infrastructure Security: formal specification prohibition/limitation clause,2026-04-02
v2.0.5,1.2.2,added,CA Infrastructure Security: Connections within CA Infrastructure or Network Boundary Controls SHOULD be authenticated and encrypted,2026-04-02
v2.0.5,1.2.2,removed,CA Infrastructure Security: between CA Infrastructure components clause,2026-04-02
v2.0.5,1.1.1.2,changed,Network Segmentation: virtual local area networks (VLANs),2026-04-02
v2.0.5,1.1.1.2,removed,Network Segmentation: software-defined networking,2026-04-02
v2.0.5,1.1.1.2,removed,Network Segmentation: virtual private networks (VPNs),2026-04-02
v2.0.5,1.1.1.2,removed,Network Segmentation: design and implementation considerations clause,2026-04-02
v2.0.5,1,added,CA Infrastructure and Network Boundary Control Configuration: CA MUST define inventory of CA Infrastructure,2026-04-02
v2.0.5,1.1.1.1,added,Network Segmentation: design and implementation considerations clause,2026-04-02
v2.0.5,1.1.1.2,changed,Network Segmentation: MUST be designed and implemented using Network Boundary Controls,2026-04-02
v2.0.5,1.1.1.2,added,Network Segmentation: software-defined networking,2026-04-02
v2.0.5,2.0.5,added,"Document History: 2.0.5 NS-008 Updates to CA Infrastructure Scope, Trusted Roles, Systems Applicability",2026-04-02
