version,section,type,description_snippet,tabulated_date
v1.0.13,6.5.1,changed,Specific computer security technical requirements: 6.5 Computer security controls,2026-04-02
v1.0.13,3.2.4.2,changed,Validation of individual identity: 4. Validation of digital signature with certificate,2026-04-02
v1.0.13,3.2.4.2,removed,Validation of individual identity: collection from other sources clause when attributes not in Certificate,2026-04-02
v1.0.13,3.2.4.2,added,Validation of individual identity: 6. Validation using an Enterprise RA record - Sponsor-validated Certificate identity attribute validation,2026-04-02
v1.0.13,6.2.6,changed,Private key transfer into or from a cryptographic module: Issuing CA SHALL encrypt Subordinate CA Private Key for transport,2026-04-02
v1.0.13,3.2.4.1,changed,Attribute collection of individual identity: 4. From a certificate supporting a digital signature applied by the Applicant,2026-04-02
v1.0.13,3.2.4.1,changed,Attribute collection of individual identity: 8. From authorized reference sources as supplementary evidence,2026-04-02
v1.0.13,3.2.4.1,added,Attribute collection of individual identity: CA SHALL internally document accepted reference sources,2026-04-02
v1.0.13,3.2.4.2,changed,Validation of individual identity: 2. Validation of a digital identity document,2026-04-02
v1.0.13,1.6.3,added,References: ISO/IEC TS 18013-5 Mobile Driving Licence (mDL),2026-04-02
v1.0.13,3.2.4.1,changed,Attribute collection of individual identity: 1. From a physical identity document,2026-04-02
v1.0.13,3.2.4.1,changed,Attribute collection of individual identity: 2. From a digital identity document,2026-04-02
v1.0.13,3.2.4.1,changed,Attribute collection of individual identity: 3. Using electronic identification schemes (eID),2026-04-02
v1.0.13,1.6.2,added,Acronyms: ISO International Organization for Standardization,2026-04-02
v1.0.13,1.6.3,changed,References: S/MIME and TLS acronym definitions,2026-04-02
v1.0.13,1.6.3,added,References: ISO 17442-2:2020 LEI in digital certificates,2026-04-02
v1.0.13,1.2.1,changed,Revisions: table header (Version Ballot Description Publication Date),2026-04-02
v1.0.13,1.2.1,added,Revisions: table header (Version Ballot Description Publication Date),2026-04-02
v1.0.13,1.6.1,added,Definitions: Mailbox Field for Subscriber Certificates and Subordinate CA Certificates,2026-04-02
v1.0.13,4.3.1.3,changed,Linting of issued Certificates: Table of Contents,2026-04-02
v1.0.12,4.2.2.1,changed,Certification authority authorization: CAA record lookup failure permission-to-issue conditions,2026-04-02
v1.0.12,4.2.2.1.1,added,"DNSSEC validation of CAA records: Effective March 15, 2026 DNSSEC validation MUST be performed on all CAA-related DNS queries",2026-04-02
v1.0.12,1.6.3,added,"References: RFC 5280, RFC 5702, RFC 6818",2026-04-02
v1.0.12,1.6.3,added,"References: RFC 6818, RFC 6840, RFC 6960",2026-04-02
v1.0.12,1.6.3,added,"References: RFC 4262, RFC 4509, RFC 5019",2026-04-02
v1.0.12,1.6.3,added,"References: RFC 5019, RFC 5155",2026-04-02
v1.0.12,1.2.1,added,Revisions: 1.0.8 SMC010 MPIC; 1.0.12 SMC014 DNSSEC for CAA,2026-04-02
v1.0.12,1.6.3,added,"References: RFC 3739, RFC 4035, RFC 4262",2026-04-02
v1.0.12,1.2.1,added,Revisions: 1.0.11 SMC013 PQC Algorithms; 1.0.12 SMC013 DNSSEC for CAA,2026-04-02
