version,section,type,description_snippet,tabulated_date
v2.2.5,1.2.2,added,"Relevant Dates: 2026-03-15 7.1.2.4 CAs MUST NOT use Precertificate Signing CAs to issue Precertificates; 2026-09-15 7.1.3.2.1 Sunset SHA-1 in Certificates and CRLs; 2027-03-15 3.2.2.4 and 3.2.2.5 retire Methods 3.2.2.4.16, 3.2.2.4.17, 3.2.2.5.2, 3.2.2.5.5",2026-04-02
v2.2.5,7.1.3.2.1,changed,RSA: RSASSA-PSS with SHA-512 encoding update; conditional SHA-1 transition guidance until 2026-09-15,2026-04-02
v2.2.5,7.1.3.2.1,added,RSA: RSASSA-PKCS1-v1_5 with SHA-1 revocation requirement for Subordinate CA Certificates prior to 2026-09-15,2026-04-02
v2.2.5,1.2.1,added,Revisions: 2.2.4 SC096 Carve-out for DNSSEC verification logging; 2.2.5 SC097 Sunset SHA-1 signatures,2026-04-02
v2.2.6,B,added,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 1),2026-04-02
v2.2.6,B,removed,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 1),2026-04-02
v2.2.6,B,added,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 2),2026-04-02
v2.2.6,B,removed,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 2),2026-04-02
v2.2.6,B,added,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 3),2026-04-02
v2.2.6,A.1.2,added,CAA contactphone Property: Global Numbers MUST have preceding + and country code,2026-04-02
v2.2.6,A.1.2,changed,CAA contactphone Property: example CAA 0 contactphone format,2026-04-02
v2.2.6,B,changed,Issuance of Certificates for Onion Domain Names: appendix scope statement,2026-04-02
v2.2.6,B,removed,Issuance of Certificates for Onion Domain Names: CA MAY verify Applicant's control over .onion service via methods from Section 3.2.2.4 (entry 4),2026-04-02
v2.2.6,8.4,changed,Topics covered by assessment: WebTrust SSL Baseline v2.8 + Network Security v1.0 reference,2026-04-02
v2.2.6,8.4,changed,Topics covered by assessment: 2. ETSI list label,2026-04-02
v2.2.6,8.4,changed,Topics covered by assessment: 3. Other list label,2026-04-02
v2.2.6,A,changed,CAA Contact Tag: contact information publication purpose statement,2026-04-02
v2.2.6,8.1,changed,Frequency or circumstances of assessment: Certificate capable of issuing new certificates if X.509v3 basicConstraints cA boolean is set,2026-04-02
v2.2.6,8.1,removed,Frequency or circumstances of assessment: pre-issuance readiness skip-condition for currently valid Audit Report,2026-04-02
v2.2.6,8.4,changed,Topics covered by assessment: 1. WebTrust list label,2026-04-02
v2.2.6,8.4,changed,Topics covered by assessment: WebTrust SSL Baseline with Network Security v2.7 reference,2026-04-02
v2.2.6,7.1.4.2,removed,Subject Attribute Encoding: IPv4Address encoding per RFC 3986 Section 3.2.2,2026-04-02
v2.2.6,7.2.2,changed,CRL and CRL entry extensions: revocationDate backdating exception statement,2026-04-02
v2.2.6,7.2.2,changed,CRL and CRL entry extensions: presence requirement carve-out for non-issuance-capable Certificates,2026-04-02
v2.2.6,7.2.2,changed,CRL and CRL entry extensions: omission requirement carve-out for non-issuance-capable Certificates,2026-04-02
v2.2.6,8,removed,COMPLIANCE AUDIT AND OTHER ASSESSMENTS: licensing requirement clause,2026-04-02
v2.2.6,7.1.4.2,added,Subject Attribute Encoding: commonName 2.5.4.3 RFC 5280 UTF8String/PrintableString encoding,2026-04-02
v2.2.6,7.1.4.2,removed,Subject Attribute Encoding: introductory clause requiring CAs to follow encoding requirements per table,2026-04-02
v2.2.6,7.1.4.2,changed,Subject Attribute Encoding: Max Length column header (entry 1),2026-04-02
v2.2.6,7.1.4.2,added,Subject Attribute Encoding: organizationIdentifier 2.5.4.97 X.520 UTF8String/PrintableString encoding,2026-04-02
v2.2.6,7.1.2.10.3,removed,CA Certificate Authority Information Access: Access Method (entry 1),2026-04-02
v2.2.6,7.1.2.10.3,added,CA Certificate Authority Information Access: Access Method (entry 1),2026-04-02
v2.2.6,7.1.2.10.8,changed,CA Certificate Name Constraints: iPAddress range assignment confirmation,2026-04-02
v2.2.6,7.1.4.2,changed,Subject Attribute Encoding: Max Length column header (entry 2),2026-04-02
v2.2.6,7.1.2.10.3,removed,CA Certificate Authority Information Access: Access Method (entry 2),2026-04-02
v2.2.6,7.1.2.10.3,removed,CA Certificate Authority Information Access: Access Method (entry 3),2026-04-02
v2.2.6,7.1.2.10.3,added,CA Certificate Authority Information Access: Access Method (entry 2),2026-04-02
v2.2.6,7.1.2.8.2,changed,OCSP Responder Extensions: certificatePolicies,2026-04-02
v2.2.6,7.1.2.8.3,removed,OCSP Responder Authority Information Access: Access Method (entry 1),2026-04-02
v2.2.6,7.1.2.8.3,removed,OCSP Responder Authority Information Access: Access Method (entry 2),2026-04-02
